R_int	Phi_global	P_surf
1.0697785278e+07	9.8174739992e-01	6.5503558221e+03
1.0697785278e+07	9.8168044061e-01	6.5527917053e+03
1.0697785278e+07	9.8161258129e-01	6.5552857036e+03
1.0697785278e+07	9.8154384025e-01	6.5578331124e+03
1.0697785278e+07	9.8147393673e-01	6.5604305415e+03
1.0697785278e+07	9.8140291053e-01	6.5630742465e+03
1.0697785278e+07	9.8133142892e-01	6.5657595500e+03
1.0697785278e+07	9.8125786463e-01	6.5684872535e+03
1.0697785278e+07	9.8118253140e-01	6.5712539773e+03
1.0697785278e+07	9.8110684410e-01	6.5740540659e+03
1.0697785278e+07	9.8103089254e-01	6.5768849201e+03
1.0697785278e+07	9.8095467297e-01	6.5797444430e+03
1.0697785278e+07	9.8087818396e-01	6.5826305551e+03
1.0697785278e+07	9.8080142615e-01	6.5855411846e+03
1.0697785278e+07	9.8072439936e-01	6.5884743700e+03
1.0697785278e+07	9.8064710030e-01	6.5914283487e+03
1.0697785278e+07	9.8056952097e-01	6.5944014842e+03
1.0697785278e+07	9.8049165375e-01	6.5973919921e+03
1.0697785278e+07	9.8041349378e-01	6.6003985646e+03
1.0697785278e+07	9.8033504946e-01	6.6034198147e+03
1.0697785278e+07	9.8025631850e-01	6.6064549486e+03
1.0697785278e+07	9.8017730215e-01	6.6095032143e+03
1.0697785278e+07	9.8009799775e-01	6.6125648000e+03
1.0697785278e+07	9.8001840524e-01	6.6156401764e+03
1.0697785278e+07	9.7993852494e-01	6.6187308768e+03
1.0697785278e+07	9.7985835307e-01	6.6218393430e+03
1.0697785278e+07	9.7977789188e-01	6.6249693625e+03
1.0697785278e+07	9.7969712886e-01	6.6281261908e+03
1.0697785278e+07	9.7961607316e-01	6.6313162783e+03
1.0697785278e+07	9.7953471871e-01	6.6345478916e+03
1.0697785278e+07	9.7945306325e-01	6.6378309108e+03
1.0697785278e+07	9.7937111066e-01	6.6411766662e+03
1.0697785278e+07	9.7928884847e-01	6.6445981266e+03
1.0697785278e+07	9.7920628092e-01	6.6481094237e+03
1.0697785278e+07	9.7912340126e-01	6.6517254343e+03
1.0697785278e+07	9.7904021146e-01	6.6554616489e+03
1.0697785278e+07	9.7895670558e-01	6.6593337484e+03
1.0697785278e+07	9.7887288415e-01	6.6633570411e+03
1.0697785278e+07	9.7878874373e-01	6.6675460655e+03
1.0697785278e+07	9.7870428042e-01	6.6719144617e+03
1.0697785278e+07	9.7861949197e-01	6.6764736051e+03
1.0697785278e+07	9.7853437151e-01	6.6812332913e+03
1.0697785278e+07	9.7844892110e-01	6.6861999765e+03
1.0697785278e+07	9.7836312855e-01	6.6913777990e+03
1.0697785278e+07	9.7827699021e-01	6.6967671414e+03
1.0697785278e+07	9.7819050217e-01	6.7023655671e+03
1.0697785278e+07	9.7810368919e-01	6.7081669436e+03
1.0697785278e+07	9.7801654809e-01	6.7141626815e+03
1.0697785278e+07	9.7792907585e-01	6.7203417268e+03
1.0697785278e+07	9.7784127279e-01	6.7266908699e+03
1.0697785278e+07	9.7775313912e-01	6.7331955302e+03
1.0697785278e+07	9.7766467014e-01	6.7398406755e+03
1.0697785278e+07	9.7757586585e-01	6.7466106223e+03
1.0697785278e+07	9.7748672633e-01	6.7534898148e+03
1.0697785278e+07	9.7739724694e-01	6.7604635529e+03
1.0697785278e+07	9.7730742696e-01	6.7675175860e+03
1.0697785278e+07	9.7721726687e-01	6.7746384828e+03
1.0697785278e+07	9.7712676280e-01	6.7818142074e+03
1.0697785278e+07	9.7703591085e-01	6.7890338500e+03
1.0697785278e+07	9.7694471332e-01	6.7962870274e+03
